id,Gender,Age_months,Age_group,Midtesting_age_months,Midtesting_age_group,Median_split_age,AdditionalSupportNeeds,Dropout,Reason_Dropout,Training_Crit_reached,Trial_nr,Success,Success_in0and1,Cumulative_Nr_of_Trials_Correct,Cumul_Proportion_Correct,Stopped_Early,Test_Nr_CorrectTrials,Test_Nr_Mistakes,Nr_administeredTrials,ProportionCorrect,Reasoning,Video,Comments
2,m,42,3,42,3,young,no information,no,,"yes, within 3 trials",16,no,0,6,0.375,no,9,11,20,0.45,did not ask,ID2_AdditionalTask_Bing_m_3y,
2,m,42,3,42,3,young,no information,no,,"yes, within 3 trials",17,yes,1,7,0.411764706,no,9,11,20,0.45,did not ask,ID2_AdditionalTask_Bing_m_3y,
2,m,42,3,42,3,young,no information,no,,"yes, within 3 trials",18,yes,1,8,0.444444444,no,9,11,20,0.45,did not ask,ID2_AdditionalTask_Bing_m_3y,
2,m,42,3,42,3,young,no information,no,,"yes, within 3 trials",19,no,0,8,0.421052632,no,9,11,20,0.45,did not ask,ID2_AdditionalTask_Bing_m_3y,
2,m,42,3,42,3,young,no information,no,,"yes, within 3 trials",20,yes,1,9,0.45,no,9,11,20,0.45,did not ask,ID2_AdditionalTask_Bing_m_3y,
3,m,43,3,44,3,young,no information,no,,"yes, within 3 trials",1,no,0,0,0,no,7,13,20,0.35,"After first time asking: pointed to grey box (the one the sticker was in in the last round), after second time asking pointed to yellow box",ID3_AdditionalTask_Bing_m_3y,sometimes did not pay attention or right after insertion of ball started talking
3,m,43,3,44,3,young,no information,no,,"yes, within 3 trials",2,no,0,0,0,no,7,13,20,0.35,"After first time asking: pointed to grey box (the one the sticker was in in the last round), after second time asking pointed to yellow box",ID3_AdditionalTask_Bing_m_3y,
3,m,43,3,44,3,young,no information,no,,"yes, within 3 trials",3,no,0,0,0,no,7,13,20,0.35,"After first time asking: pointed to grey box (the one the sticker was in in the last round), after second time asking pointed to yellow box",ID3_AdditionalTask_Bing_m_3y,
3,m,43,3,44,3,young,no information,no,,"yes, within 3 trials",4,no,0,0,0,no,7,13,20,0.35,"After first time asking: pointed to grey box (the one the sticker was in in the last round), after second time asking pointed to yellow box",ID3_AdditionalTask_Bing_m_3y,
3,m,43,3,44,3,young,no information,no,,"yes, within 3 trials",5,no,0,0,0,no,7,13,20,0.35,"After first time asking: pointed to grey box (the one the sticker was in in the last round), after second time asking pointed to yellow box",ID3_AdditionalTask_Bing_m_3y,
3,m,43,3,44,3,young,no information,no,,"yes, within 3 trials",6,no,0,0,0,no,7,13,20,0.35,"After first time asking: pointed to grey box (the one the sticker was in in the last round), after second time asking pointed to yellow box",ID3_AdditionalTask_Bing_m_3y,
3,m,43,3,44,3,young,no information,no,,"yes, within 3 trials",7,no,0,0,0,no,7,13,20,0.35,"After first time asking: pointed to grey box (the one the sticker was in in the last round), after second time asking pointed to yellow box",ID3_AdditionalTask_Bing_m_3y,
